"PWS ID","PWS Name","EPA Region","Primacy Agency","PWS Type","Primacy Type","Primary Source","Activity Status","Deactivation Date","Population Served Count","Rule Name","Violation Code","Violation Type","Violation Category Code","Is Health Based","Contaminant Name","Compliance Period Begin Date","Compliance Period End Date","Compliance Status","RTC Date","Enforcement Action Type Code","Enforcement Action Description","Is Major Violation","Severity Indicator Count","Public Notification Tier","Violation First Reported Date"
"WA5302328","PANORAMA MOBILE HOME PARK","Region 10","Washington","Community water system","State","Ground water","Active","-","150","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","22-SEP-2015","SOX","State Compliance achieved","-","-","3","25-JUN-2015"
"OR4190550","BONANZA HIGH/ELEM SCHOOLS","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","425","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","05-SEP-2014","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4193712","MUDDY CREEK CHARTER SCHOOL","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","84","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","09-FEB-2011","SIA","State Violation/Reminder Notice","-","-","3","25-MAY-2011"
"OR4193711","CORVALLIS WALDORF ASSOCIATION","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","180","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","09-FEB-2011","SIA","State Violation/Reminder Notice","-","-","3","25-MAY-2011"
"AK2263006","KOKHANOK WATER & WW SYSTEM","Region 10","Alaska","Community water system","State","Surface water","Active","-","189","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","21-AUG-2012","SOX","State Compliance achieved","-","-","3","22-NOV-2011"
"OR4100972","COLLEGE MOBILE HOME PARK","Region 10","Oregon","Community water system","State","Ground water","Active","-","34","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","06-SEP-2013","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"WA5319890","DOUBLE L MOBILE HOME PARK","Region 10","Washington","Community water system","State","Ground water","Active","-","58","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","19-DEC-2014","SOX","State Compliance achieved","-","-","3","25-JUN-2015"
"AK2225968","MSBSD RON LARSON SCHOOL","Region 10","Alaska","Non-Transient non-community system","State","Ground water","Active","-","505","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","29-FEB-2012","SOX","State Compliance achieved","-","-","3","26-MAY-2011"
"AK2220085","MSBSD TWINDLEY BRIDGES CHARTER SCHOOL","Region 10","Alaska","Non-Transient non-community system","State","Ground water","Active","-","55","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","29-AUG-2014","SOX","State Compliance achieved","-","-","3","26-MAY-2011"
"AK2223023","MSBSD CAREER CENTER","Region 10","Alaska","Non-Transient non-community system","State","Ground water","Active","-","575","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","23-DEC-2011","SOX","State Compliance achieved","-","-","3","26-MAY-2011"
"OR4100839","RAINBOW WATER DISTRICT","Region 10","Oregon","Community water system","State","Groundwater under influence of surface water","Active","-","6,300","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","05-JUL-2012","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4100141","ORIENT DRIVE MOBILE ESTATES","Region 10","Oregon","Community water system","State","Ground water","Active","-","75","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","01-AUG-2011","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4194992","SANDY RIDGE HEADSTART","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","40","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","05-SEP-2014","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4100312","GASTON, CITY OF","Region 10","Oregon","Community water system","State","Surface water purchased","Active","-","625","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","24-OCT-2011","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4105252","FALL CREEK WATER DISTRICT","Region 10","Oregon","Community water system","State","Ground water","Active","-","40","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","03-MAY-2013","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4100881","LATIMER ROAD WATER ASSOCIATION","Region 10","Oregon","Community water system","State","Ground water purchased","Active","-","140","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","28-SEP-2011","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4194279","PACIFIC NW VEGETABLE COMPANY","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","40","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","18-OCT-2012","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4101053","RIVERBEND MOBILE HOME PARK","Region 10","Oregon","Community water system","State","Ground water","Active","-","550","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","18-OCT-2012","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4101043","CEDAR TREE MOBILE HOME PARK","Region 10","Oregon","Community water system","State","Ground water","Active","-","50","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","10-OCT-2014","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4194911","CHURCH ON THE HILL","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","375","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","13-OCT-2011","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4193751","COMMUNITY ACTION HEADSTART","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","70","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","15-AUG-2011","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4100762","BREWSTER COMMUNITY HOMEOWNERS","Region 10","Oregon","Community water system","State","Ground water","Active","-","50","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","06-APR-2012","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4191660","CASCADES ELEMENTARY","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","388","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","23-MAR-2011","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4100962","DUNN COURT DUPLEXES","Region 10","Oregon","Community water system","State","Ground water","Active","-","88","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","21-OCT-2011","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4195137","WILLAMETTE VALLEY VINEYARDS","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","378","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","13-JUL-2011","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"AK2270736","KIPNUK WATER SYSTEM","Region 10","Alaska","Community water system","State","Surface water","Active","-","639","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","22-MAR-2011","SOX","State Compliance achieved","-","-","3","26-MAY-2011"
"OR4101461","BIG FOOT MOBILE PARK","Region 10","Oregon","Community water system","State","Ground water","Active","-","60","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","05-OCT-2011","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4101378","CASCADE PINES MHP","Region 10","Oregon","Community water system","State","Ground water","Active","-","100","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","07-JUL-2011","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"AK2262319","NAPAKIAK W.S. CENTRAL WELL","Region 10","Alaska","Community water system","State","Ground water","Active","-","330","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","03-DEC-2012","SOX","State Compliance achieved","-","-","3","26-MAY-2011"
"OR4101415","CHART SUBDIVISION","Region 10","Oregon","Community water system","State","Ground water","Active","-","125","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","28-SEP-2012","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"AK2210778","TROLL KNOLL S/D","Region 10","Alaska","Community water system","State","Ground water","Active","-","99","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","28-NOV-2011","SOX","State Compliance achieved","-","-","3","26-MAY-2011"
"OR4105201","COLD SPRINGS WATER CO","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","100","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","26-SEP-2012","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"AK2270312","CITY OF HOOPER BAY","Region 10","Alaska","Community water system","State","Ground water","Active","-","1,200","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","16-DEC-2011","SOX","State Compliance achieved","-","-","3","26-MAY-2011"
"OR4100140","BARLOW TRAIL ESTATES","Region 10","Oregon","Community water system","State","Ground water","Active","-","180","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","26-SEP-2012","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"AK2360214","KOYUKUK SAFEWATER FACILITY","Region 10","Alaska","Community water system","State","Ground water","Active","-","97","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","24-FEB-2011","SFL","State Administrative/Compliance Order without penalty issued","-","-","3","26-MAY-2011"
"AK2360214","KOYUKUK SAFEWATER FACILITY","Region 10","Alaska","Community water system","State","Ground water","Active","-","97","Lead and Copper Rule","53","Water Quality Parameter M/R","MR","N","Lead and Copper Rule","01-JAN-2011","30-JUN-2011","Returned to Compliance","10-NOV-2014","SOX","State Compliance achieved","-","-","3","27-FEB-2012"
"AK2360214","KOYUKUK SAFEWATER FACILITY","Region 10","Alaska","Community water system","State","Ground water","Active","-","97","Lead and Copper Rule","65","Public Education","TT","Y","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","20-DEC-2011","SFL","State Administrative/Compliance Order without penalty issued","-","-","2","27-FEB-2012"
"ID1280194","UPPER TWIN LAKES WATER COMPANY INC","Region 10","Idaho","Community water system","State","Ground water","Active","-","227","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","03-JAN-2017","SIE","State Public Notification requested","-","-","3","27-MAR-2017"
"OR4194894","ARBOR SCHOOL","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","215","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","23-JUN-2011","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4100774","GREEN OAKS PARK LLC","Region 10","Oregon","Community water system","State","Ground water","Active","-","165","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","14-SEP-2011","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4195378","TIMBERLINE BAPTIST CHURCH","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","150","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","06-SEP-2012","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4100688","J & M MOBILE HOME PARK","Region 10","Oregon","Community water system","State","Ground water","Active","-","45","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","31-AUG-2012","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4100517","COBBLESTONE MHP","Region 10","Oregon","Community water system","State","Ground water","Active","-","90","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","11-SEP-2013","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4100765","MCLAIN VILLAGE WATER DEPT","Region 10","Oregon","Community water system","State","Ground water","Active","-","100","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","14-SEP-2011","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4100062","YOUNGS RIVER LEWIS & CLARK WD","Region 10","Oregon","Community water system","State","Surface water","Active","-","2,530","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","01-SEP-2011","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"WA5372200","RHODODENDRON HEIGHTS WATER CO","Region 10","Washington","Community water system","State","Ground water","Active","-","78","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","01-DEC-2014","SOX","State Compliance achieved","-","-","3","25-JUN-2015"
"WA5333431","RIVERCREST MOBILE PARK","Region 10","Washington","Community water system","State","Ground water","Active","-","42","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","18-NOV-2014","SOX","State Compliance achieved","-","-","3","25-JUN-2015"
"WA5395047","WESTBOURNE ACRES","Region 10","Washington","Community water system","State","Ground water","Active","-","94","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","03-JUN-2014","SOX","State Compliance achieved","-","-","3","25-JUN-2015"
"WA5356143","Westshore Water Company","Region 10","Washington","Community water system","State","Ground water","Active","-","151","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","09-MAY-2015","SOX","State Compliance achieved","-","-","3","23-SEP-2019"
"AK2250427","SOUTHEAST ALASKA LOGGING","Region 10","Alaska","Non-Transient non-community system","State","Surface water","Active","-","45","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","15-NOV-2011","SOX","State Compliance achieved","-","-","3","16-AUG-2011"
"OR4105825","SCENIC FRUIT COMPANY","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Inactive","07-JUL-2014","50","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","30-SEP-2011","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4190523","SAINT JOHN BOSCO HIGH SCHOOL","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Changed from public to non-public","12-APR-2017","15","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","31-JUL-2012","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4105248","WEST RAINIER WATER ASSOCIATION","Region 10","Oregon","Community water system","State","Ground water","Changed from public to non-public","06-JAN-2011","19","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","System Inactive","06-JAN-2011","SIA","State Violation/Reminder Notice","-","-","3","25-MAY-2011"
"OR4105779","PELICAN BAY HEIGHTS COMMUNITY","Region 10","Oregon","Community water system","State","Ground water purchased","Inactive","22-APR-2019","40","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","31-AUG-2011","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4101445","RIVER BEND WEST WATER","Region 10","Oregon","Community water system","State","Surface water","Changed from public to non-public","25-OCT-2012","24","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","25-JUN-2020","SO0","State no longer subject to Rule","-","-","3","25-MAY-2011"
"OR4191213","UPPER CHETCO ELEM/HEADSTART","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Inactive","13-JUN-2013","46","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","System Inactive","13-JUN-2013","SO0","State no longer subject to Rule","-","-","3","25-MAY-2011"
"OR4191505","EVANS VALLEY ELEMENTARY SD 35","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Inactive","26-JAN-2012","250","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","System Inactive","26-JAN-2012","SO0","State no longer subject to Rule","-","-","3","25-MAY-2011"
"OR4100426","HIGH PINES CG & MHP","Region 10","Oregon","Community water system","State","Ground water","Inactive","16-FEB-2011","100","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","System Inactive","16-FEB-2011","SO0","State no longer subject to Rule","-","-","3","25-MAY-2011"
"OR4194860","SAGE COMMUNITY SCHOOL","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Inactive","13-APR-2020","90","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","21-OCT-2011","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4100965","SHALIMAR ESTATES","Region 10","Oregon","Community water system","State","Ground water","Changed from public to non-public","13-APR-2011","0","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","29-FEB-2012","SO0","State no longer subject to Rule","-","-","3","25-MAY-2011"
"OR4193758","PIONEER ELEMENTARY SD 13","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Changed from public to non-public","14-SEP-2016","20","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","03-AUG-2012","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4100309","FOSTER LAKE MOBILE RV COMMUNITY","Region 10","Oregon","Community water system","State","Surface water purchased","Inactive","23-MAR-2011","50","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","System Inactive","23-MAR-2011","SO0","State no longer subject to Rule","-","-","3","25-MAY-2011"
"OR4194042","PLEASANT VIEW HIGH SCHOOL","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Inactive","26-JUN-2014","100","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","12-JUN-2012","SIA","State Violation/Reminder Notice","-","-","3","15-NOV-2012"
"OR4194789","ALDER CREEK LUMBER CO INC","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Inactive","31-DEC-2009","50","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","System Inactive","31-DEC-2009","SIA","State Violation/Reminder Notice","-","-","3","25-MAY-2011"
"OR4100735","SUSTAINABLE FAIRVIEW ASSOC LLC","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Inactive","30-NOV-2010","37","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","System Inactive","30-NOV-2010","SO0","State no longer subject to Rule","-","-","3","25-MAY-2011"
"ID1280112","ARUNDEL BY THE RIVER A MOBILE HOME COMM","Region 10","Idaho","Community water system","State","Groundwater under influence of surface water","Changed from public to non-public","31-AUG-2018","2","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","23-AUG-2018","SOX","State Compliance achieved","-","-","3","27-MAR-2017"
"OR4101498","PARRETT MOUNTAIN VIEW ESTATES","Region 10","Oregon","Community water system","State","Ground water","Active","-","140","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","21-NOV-2011","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4100756","SLEEPY HOLLOW PHASE I WS","Region 10","Oregon","Community water system","State","Ground water","Active","-","88","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","09-OCT-2014","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4195376","BENTS COURT WATER COMPANY","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","2,500","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","23-MAY-2011","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"AK2271025","KONGIGANAK WATER SYSTEM","Region 10","Alaska","Community water system","State","Surface water","Active","-","539","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","20-MAR-2013","SOX","State Compliance achieved","-","-","3","26-MAY-2011"
"OR4105734","FORTUNE BRANCH MOBILE VILLAGE","Region 10","Oregon","Community water system","State","Ground water","Active","-","80","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","23-SEP-2011","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4105364","MT TERRACE MHP","Region 10","Oregon","Community water system","State","Ground water","Active","-","60","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","02-NOV-2011","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4193750","WILLOWCREEK ELEM SD #84","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","80","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","21-NOV-2012","SOX","State Compliance achieved","-","-","3","15-NOV-2012"
"OR4100996","SAGINAW PARK WATER SYSTEM","Region 10","Oregon","Community water system","State","Ground water","Active","-","60","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","08-JUL-2011","SFM","State Administrative Penalty assessed","-","-","3","25-MAY-2011"
"OR4100450","LAKESIDE MOBILE HOME & RV PARK","Region 10","Oregon","Community water system","State","Ground water","Active","-","110","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","21-OCT-2011","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4100982","DEER ISLAND VILLAGE MHP","Region 10","Oregon","Community water system","State","Ground water","Active","-","100","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","15-DEC-2011","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4100475","HALCYON VILLA MOBILE HOME PARK","Region 10","Oregon","Community water system","State","Ground water","Active","-","87","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","13-OCT-2011","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"OR4100863","SMITH ROCK MOBILE ESTATES","Region 10","Oregon","Community water system","State","Ground water","Active","-","60","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","09-JAN-2012","SOX","State Compliance achieved","-","-","3","25-MAY-2011"
"105300150","MISSION HIGHLANDS","Region 10","EPA Region 10","Community water system","Tribal","Surface water purchased","Changed from public to non-public","08-AUG-2014","210","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","21-JUN-2011","EOX","Federal Compliance achieved","-","-","3","29-MAR-2011"
"AK2333152","DOYON DRILLING RIG # 19","Region 10","Alaska","Non-Transient non-community system","State","Surface water purchased","Changed from public to non-public","03-APR-2017","24","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","15-AUG-2011","SOX","State Compliance achieved","-","-","3","26-MAY-2011"
"AK2225313","SEARS HOLDING COMPANY  WASILLA","Region 10","Alaska","Non-Transient non-community system","State","Ground water","Changed from public to non-public","19-AUG-2020","0","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","08-JUL-2014","SOX","State Compliance achieved","-","-","3","26-MAY-2011"
"AK2220253","NANA CONSTRUCTION LLC","Region 10","Alaska","Non-Transient non-community system","State","Ground water","Changed from public to non-public","08-MAY-2014","0","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JAN-2011","-","Returned to Compliance","28-MAR-2011","SIA","State Violation/Reminder Notice","-","-","3","16-AUG-2011"
