"PWS ID","PWS Name","EPA Region","Primacy Agency","PWS Type","Primacy Type","Area Type","County Served","City Served","Zip Code Served","Tribal Code","Tribal Description","Activity Status","Deactivation Date","Address Line1","Address Line2","State Code","Zip Code"
"IL3028787","RIVERWOOD INN","05","Illinois","Transient non-community system","State","County","Lake","-","-","-","-","Changed from public to non-public","05-JAN-2006","1055 N MILWAUKEE AVE","-","IL","60015"
"IL3112581","ADAM TECZA & SONS INC","05","Illinois","Transient non-community system","State","County","Kane","-","-","-","-","Changed from public to non-public","13-MAY-2008","245 West Roosevelt Road Bldg# 5","-","IL","60185"
"IL3112896","SPRING BAY INDUSTRIAL PARK","05","Illinois","Non-Transient non-community system","State","County","Woodford","-","-","-","-","Changed from public to non-public","29-APR-2014","% ALLSTATE INSURANCE COMPANY","2675 SANDERS ROAD","IL","60062"
"IL3074260","INDIAN BOUNDARY GOLF      3127","05","Illinois","Transient non-community system","State","County","Cook","-","-","-","-","Changed from public to non-public","22-AUG-2007","1010 Lake Street","Suite 300","IL","60301"
"IL3114181","KNIGHTS OF COLUMBUS (114181)","05","Illinois","Transient non-community system","State","County","Will","-","-","-","-","Changed from public to non-public","01-APR-2005","BOX 1018","-","IL","60408"
"IN5254016","THOMPSON VALLEY WOOD","05","Indiana","Community water system","State","County","Montgomery","-","-","-","-","Changed from public to non-public","15-SEP-2017","RURAL ROUTE #5","-","IN","47933"
"IN2492833","JAMES MASON/DOW CONSUMER PROD.","05","Indiana","Non-Transient non-community system","State","County","Marion","-","-","-","-","Changed from public to non-public","15-SEP-2017","-","BOX 68511","IN","46268"
"IL3015206","WAA-KEE-SHA PARK","05","Illinois","Transient non-community system","State","County","Kendall","-","-","-","-","Changed from public to non-public","29-OCT-2007","245 West Roosevelt Road Bldg# 5","-","IL","60185"
"IL3016394","HONONEGAH FOREST PRESERVE DIST","05","Illinois","Transient non-community system","State","County","Winnebago","-","-","-","-","Changed from public to non-public","23-DEC-2010","5500 NORTHROCK DR","-","IL","61103"
"IL3015388","RUTLAND FOREST PRES.RANGERSHS","05","Illinois","Transient non-community system","State","County","Kane","-","-","-","-","Changed from public to non-public","29-NOV-2006","245 West Roosevelt Road Bldg# 5","-","IL","60185"
"IL3015693","ELKS LODGE","05","Illinois","Transient non-community system","State","County","DuPage","-","-","-","-","Changed from public to non-public","29-MAR-2007","111 North County Farm Road","-","IL","60187"
"IN2840834","MIKE MCKEE/IMC CORPORATION","05","Indiana","Non-Transient non-community system","State","County","Vigo","-","-","-","-","Changed from public to non-public","18-SEP-2017","-","P.O. BOX 207","IN","47808"
"IL3000232","MANCUSO CHEESE COMPANY","05","Illinois","Transient non-community system","State","County","Will","-","-","-","-","Changed from public to non-public","14-SEP-2011","612 MILLS RD","-","IL","60433"
"IL1977650","RIDGEWOOD SUBDIVISION","05","Illinois","Community water system","State","City","-","JOLIET","-","-","-","Changed from public to non-public","21-JAN-2010","PO BOX 2248","-","IL","60434"
"IL1977650","RIDGEWOOD SUBDIVISION","05","Illinois","Community water system","State","County","Will","-","-","-","-","Changed from public to non-public","21-JAN-2010","PO BOX 2248","-","IL","60434"
"IL1977690","SHAWNITA TRC WATER ASSOCIATION","05","Illinois","Community water system","State","City","-","JOLIET","-","-","-","Changed from public to non-public","12-DEC-2017","325 MOHAWK STREET","-","IL","60432"
"IL1977690","SHAWNITA TRC WATER ASSOCIATION","05","Illinois","Community water system","State","County","Will","-","-","-","-","Changed from public to non-public","12-DEC-2017","325 MOHAWK STREET","-","IL","60432"
"IL1977850","DIXIE DELLS","05","Illinois","Community water system","State","City","-","MANHATTAN","-","-","-","Changed from public to non-public","10-DEC-2002","PO BOX 788","24650 S. WESTERN AVE.","IL","60466"
"IL1977850","DIXIE DELLS","05","Illinois","Community water system","State","County","Will","-","-","-","-","Changed from public to non-public","10-DEC-2002","PO BOX 788","24650 S. WESTERN AVE.","IL","60466"
"IL1977930","JOLIET CORRECTIONAL CENTER","05","Illinois","Community water system","State","City","-","JOLIET","-","-","-","Changed from public to non-public","11-JAN-2007","STATEVILLE CORRECTIONAL CENTER","PO BOX 112","IL","60434"
"IL1977930","JOLIET CORRECTIONAL CENTER","05","Illinois","Community water system","State","County","Will","-","-","-","-","Changed from public to non-public","11-JAN-2007","STATEVILLE CORRECTIONAL CENTER","PO BOX 112","IL","60434"
"IL3000687","BEALL WOODS STATE PARK (687)","05","Illinois","Transient non-community system","State","County","Wabash","-","-","-","-","Changed from public to non-public","24-OCT-2006","2309 West Main Street","-","IL","62959"
"IL1979920","CHANNAHON PARKWAY STATE PARK","05","Illinois","Community water system","State","County","Will","-","-","-","-","Changed from public to non-public","20-FEB-2018","-","-","IL","-"
"IL1979920","CHANNAHON PARKWAY STATE PARK","05","Illinois","Community water system","State","City","-","UNSPEC PL IN CO","-","-","-","Changed from public to non-public","20-FEB-2018","-","-","IL","-"
"IL1995150","WYE PWD","05","Illinois","Community water system","State","City","-","MARION","-","-","-","Changed from public to non-public","02-AUG-2006","PO BOX 69","-","IL","62959"
"IL1995150","WYE PWD","05","Illinois","Community water system","State","County","Williamson","-","-","-","-","Changed from public to non-public","02-AUG-2006","PO BOX 69","-","IL","62959"
"IL1995400","HAFER WATER DISTRICT SYSTEM","05","Illinois","Community water system","State","County","Williamson","-","-","-","-","Changed from public to non-public","23-SEP-2005","PO BOX 43","-","IL","62841"
"IL2010060","MARYVILLE FARM CAMPUS","05","Illinois","Community water system","State","City","-","DURAND","-","-","-","Changed from public to non-public","18-OCT-2017","10102 FARM SCHOOL ROAD","-","IL","61024"
"IL2010060","MARYVILLE FARM CAMPUS","05","Illinois","Community water system","State","County","Winnebago","-","-","-","-","Changed from public to non-public","18-OCT-2017","10102 FARM SCHOOL ROAD","-","IL","61024"
"IL2015225","ANNS MHP","05","Illinois","Community water system","State","City","-","ROCKFORD","-","-","-","Changed from public to non-public","06-MAY-2014","3115 S MAIN ST","-","IL","61102"
"IL2015225","ANNS MHP","05","Illinois","Community water system","State","County","Winnebago","-","-","-","-","Changed from public to non-public","06-MAY-2014","3115 S MAIN ST","-","IL","61102"
"IL2015245","BEL-ROCK MHP","05","Illinois","Community water system","State","City","-","MACHESNEY PARK","-","-","-","Changed from public to non-public","26-NOV-2002","1520 GLENN FOREST","-","IL","61115"
"IL2015245","BEL-ROCK MHP","05","Illinois","Community water system","State","County","Winnebago","-","-","-","-","Changed from public to non-public","26-NOV-2002","1520 GLENN FOREST","-","IL","61115"
"IL2015290","LARCHMONT SUBDIVISION","05","Illinois","Community water system","State","City","-","ROCKFORD","-","-","-","Changed from public to non-public","06-JAN-2012","LARCHMONT SUBDIVISION","2509 WESTBROOK","IL","61107"
"IL2015290","LARCHMONT SUBDIVISION","05","Illinois","Community water system","State","County","Winnebago","-","-","-","-","Changed from public to non-public","06-JAN-2012","LARCHMONT SUBDIVISION","2509 WESTBROOK","IL","61107"
"IL3003376","HOBSONS BLUFFDALE FARMS","05","Illinois","Transient non-community system","State","County","Greene","-","-","-","-","Changed from public to non-public","27-SEP-2006","32 East Market Street","Annex Building, Po Box 115","IL","62694"
"IL2015565","NEARTOWN MHP","05","Illinois","Community water system","State","City","-","ROCKFORD","-","-","-","Changed from public to non-public","14-JUN-2006","7210 EAST STATE ST.","-","IL","61108"
"IL2015565","NEARTOWN MHP","05","Illinois","Community water system","State","County","Winnebago","-","-","-","-","Changed from public to non-public","14-JUN-2006","7210 EAST STATE ST.","-","IL","61108"
"IL2035150","TEN MILE VIEW SUBDIVISION","05","Illinois","Community water system","State","City","-","EUREKA","-","-","-","Changed from public to non-public","06-JUN-2006","1138 N. UPPER SKYLINE DR.","-","IL","61611-1294"
"IL2035150","TEN MILE VIEW SUBDIVISION","05","Illinois","Community water system","State","County","Woodford","-","-","-","-","Changed from public to non-public","06-JUN-2006","1138 N. UPPER SKYLINE DR.","-","IL","61611-1294"
"IL3122887","POLAR VENDING UNIT #1","05","Illinois","Transient non-community system","State","County","Macon","-","-","-","-","Changed from public to non-public","31-MAY-2007","1221 E. Condit Street","-","IL","62521"
"IL3122895","POLAR PRODUCTS INC-PLANT","05","Illinois","Transient non-community system","State","County","Macon","-","-","-","-","Changed from public to non-public","31-MAY-2007","1221 E. Condit Street","-","IL","62521"
"IL3126797","GURNEE RESTAURANT","05","Illinois","Transient non-community system","State","County","Lake","-","-","-","-","Changed from public to non-public","02-DEC-2005","36723 N HWY 41","-","IL","60031"
"IL3037200","BALDUCCIS ITALIAN RESTAURANT","05","Illinois","Transient non-community system","State","County","DuPage","-","-","-","-","Changed from public to non-public","05-JUL-2005","8S551 MADISON STREET","-","IL","60527"
"IL3037259","WW DIST200 FACILITY SERVICE BLDG","05","Illinois","Transient non-community system","State","County","DuPage","-","-","-","-","Changed from public to non-public","04-OCT-2017","4S208 CURTIS AVENUE","-","IL","60555"
"IL3076885","CENTER POINT PROPERTIES","05","Illinois","Non-Transient non-community system","State","County","Cook","-","-","-","-","Changed from public to non-public","02-NOV-2005","1808 SWIFT DRIVE C/O KRIS BAK","-","IL","60523"
"IN2050006","BLACKFORD COUNTY SCHOOLS CENTRAL OFFICE","05","Indiana","Non-Transient non-community system","State","City","-","HARTFORD CITY","-","-","-","Changed from public to non-public","01-SEP-2020","0668 West 200 South","-","IN","47348"
"IN2050006","BLACKFORD COUNTY SCHOOLS CENTRAL OFFICE","05","Indiana","Non-Transient non-community system","State","County","Blackford","-","-","-","-","Changed from public to non-public","01-SEP-2020","0668 West 200 South","-","IN","47348"
"IL3125096","POLAR WATER VENDING UNIT #5","05","Illinois","Transient non-community system","State","County","Macon","-","-","-","-","Changed from public to non-public","31-MAY-2007","1221 E. Condit Street","-","IL","62521"
"IL3120444","FLOWER GARDEN DAY CARE CENTER","05","Illinois","Non-Transient non-community system","State","County","Cook","-","-","-","-","Changed from public to non-public","23-AUG-2007","403 N. ETOWAH AVE.","-","IL","60070"
"IL3032540","SKIPPER BUDS","05","Illinois","Transient non-community system","State","County","Lake","-","-","-","-","Changed from public to non-public","07-DEC-2020","3010 Grand Avenue","-","IL","60085"
"IL3032623","WOKINIS LAKESIDE INN","05","Illinois","Transient non-community system","State","County","Lake","-","-","-","-","Changed from public to non-public","17-JAN-2008","3010 Grand Avenue","-","IL","60085"
"IL3123877","POLAR VENDING UNIT #3","05","Illinois","Transient non-community system","State","County","Macon","-","-","-","-","Changed from public to non-public","31-MAY-2007","1221 E. Condit Street","-","IL","62521"
"IN2090814","D HERRIN/NIPSCO-ROYAL CTR STG","05","Indiana","Non-Transient non-community system","State","County","Carroll","-","-","-","-","Changed from public to non-public","15-SEP-2017","-","CR 525W 900 N","IN","46978"
"IL3032987","MCDONOUGH COUNTY 4-H CENTER","05","Illinois","Transient non-community system","State","County","McDonough","-","-","-","-","Changed from public to non-public","10-JAN-2006","505 E JACKSON ST","-","IL","61455"
"IL3124529","TAMARACK TENNIS & SWIM CLUB","05","Illinois","Transient non-community system","State","County","Will","-","-","-","-","Changed from public to non-public","01-JUN-2005","34 S WASHINGTON ST PO BOX 838","-","IL","60566"
"IL3126409","M P I & ASSOCIATES","05","Illinois","Transient non-community system","State","County","Lake","-","-","-","-","Changed from public to non-public","28-SEP-2007","3010 Grand Avenue","-","IL","60085"
"IL3066886","DUNDEE MIDDLE SCHOOL","05","Illinois","Non-Transient non-community system","State","County","Kane","-","-","-","-","Changed from public to non-public","07-DEC-2007","P.O. BOX 874","-","IL","60434"
"IL3066969","KILBS COTTAGE","05","Illinois","Transient non-community system","State","County","Kane","-","-","-","-","Changed from public to non-public","12-DEC-2006","210 South 6th Street","-","IL","60134"
"IL3153411","VERMILION POWER STATION","05","Illinois","Non-Transient non-community system","State","County","Vermilion","-","-","-","-","Changed from public to non-public","09-AUG-2011","8401 POWER ROAD","-","IL","61727"
"IN2430909","LLOYD APPLEGATE/LUTHER ALLEN","05","Indiana","Non-Transient non-community system","State","County","Kosciusko","-","-","-","-","Changed from public to non-public","15-SEP-2017","-","2156 NORTH DETROIT STREET","IN","46580"
"IN2430910","DICK LEAF/DA-LITE SCREEN CO","05","Indiana","Non-Transient non-community system","State","County","Kosciusko","-","-","-","-","Changed from public to non-public","15-SEP-2017","-","P.O. BOX 137/S.R. 15NORTH","IN","46580"
"IN2430913","LEW WOLFE/R. HEDINGTON","05","Indiana","Non-Transient non-community system","State","County","Kosciusko","-","-","-","-","Changed from public to non-public","15-SEP-2017","-","P.O. BOX 958","IN","46580"
"IL3109991","RIVERFRONT CAMPGROUND (109991)","05","Illinois","Transient non-community system","State","County","Will","-","-","-","-","Changed from public to non-public","27-JAN-2006","-","35148 S RIVALS RD","IL","60481"
"IL3110098","RIDGEWOOD TAVERN","05","Illinois","Transient non-community system","State","County","Will","-","-","-","-","Changed from public to non-public","04-OCT-2005","1207 E PASS ST","-","IL","60432"
"IL3145011","CUB FOODS #30514","05","Illinois","Transient non-community system","State","County","DuPage","-","-","-","-","Changed from public to non-public","31-MAY-2007","111 North County Farm Road","-","IL","60187"
"IL3145276","DOMINICKS FINER FOODS 1149 #2","05","Illinois","Transient non-community system","State","County","DuPage","-","-","-","-","Changed from public to non-public","31-MAY-2007","111 North County Farm Road","-","IL","60187"
"IL3146050","DELRAY FARMS #21 GLACIER WATER","05","Illinois","Transient non-community system","State","County","Lake","-","-","-","-","Changed from public to non-public","09-MAY-2005","2380 CASSENS DR","-","MO","63026"
"IL3145417","DOMINICKS FINER FOODS #3047","05","Illinois","Transient non-community system","State","County","DuPage","-","-","-","-","Changed from public to non-public","31-MAY-2007","GLACIER WATER SYSTEMS","5602 ELMWOOD; SUITE 102","IN","46203"
"IL3145516","CARNICERIA LA ROSITA","05","Illinois","Transient non-community system","State","County","DuPage","-","-","-","-","Changed from public to non-public","31-MAY-2007","111 North County Farm Road","-","IL","60187"
"IL3145623","HILADER J-860","05","Illinois","Transient non-community system","State","County","Winnebago","-","-","-","-","Changed from public to non-public","13-OCT-2004","-","1730 S ALPINE RD","IL","61107"
"IL3145938","EAGLE STORES 009 9478","05","Illinois","Transient non-community system","State","County","Winnebago","-","-","-","-","Changed from public to non-public","19-NOV-2004","-","2704 N MAIN STREET","IL","61101"
"IL3102764","PECATONICA RIVER FP (102764)","05","Illinois","Transient non-community system","State","County","Winnebago","-","-","-","-","Changed from public to non-public","27-SEP-2007","4302 North Main Street","-","IL","61105"
"IL3150573","JOHANSEN FARMS","05","Illinois","Transient non-community system","State","County","Will","-","-","-","-","Changed from public to non-public","01-OCT-2012","680 N BOLINGBROOK DRIVE","-","IL","60440"
"IL3150649","HERBIES ICE CREAM & STUFF INC","05","Illinois","Transient non-community system","State","County","Henderson","-","-","-","-","Changed from public to non-public","23-DEC-2010","PO BOX 847","-","IL","61454"
"IL3150243","BARTELS WATER MACHINE","05","Illinois","Transient non-community system","State","County","DuPage","-","-","-","-","Changed from public to non-public","31-MAY-2007","25W420 GENEVA ROAD","-","IL","60187"
"IL3040964","PIRATES COVE LOUNGE","05","Illinois","Transient non-community system","State","County","DuPage","-","-","-","-","Changed from public to non-public","29-MAR-2007","111 North County Farm Road","-","IL","60187"
"IL3041194","ARROWHEAD GOLF CLUB","05","Illinois","Transient non-community system","State","County","DuPage","-","-","-","-","Changed from public to non-public","05-JUL-2005","26W151 BUTTERFIELD ROAD","-","IL","60187"
"IL3090076","MT CARROL MOTEL","05","Illinois","Transient non-community system","State","County","Carroll","-","-","-","-","Changed from public to non-public","18-JUN-2008","822 South Mill Street","-","IL","61053"
"IL3140186","DIXONS TRAVELERS MART","05","Illinois","Transient non-community system","State","County","Knox","-","-","-","-","Changed from public to non-public","27-JAN-2006","1316 West Fremont Street","-","IL","61401"
"IL3140285","DOMINICKS LOCKPORT VENDING","05","Illinois","Transient non-community system","State","County","Will","-","-","-","-","Changed from public to non-public","08-FEB-2007","501 Ella Avenue","-","IL","60433"
"IL3095406","MEDINAH COUNTRY CLUB/GUN CLUB","05","Illinois","Transient non-community system","State","County","DuPage","-","-","-","-","Changed from public to non-public","05-JUL-2005","6N001 MEDINAH RD","-","IL","60157"
"IL3141333","DEL RAY FARMS VENDING #744","05","Illinois","Transient non-community system","State","County","Will","-","-","-","-","Changed from public to non-public","22-JAN-2007","ATTN JOHN KIESLICH","5630 WEST 82ND STREET","IN","46278"
"IL3141390","FIN AND FEATHER CAMPING RESORT (141390)","05","Illinois","Transient non-community system","State","County","Carroll","-","-","-","-","Changed from public to non-public","29-OCT-2007","6229 RIVERVIEW ROAD","-","IL","61285"
"IL3141432","DEL RAY FARMS VENDING # 1237","05","Illinois","Transient non-community system","State","County","Will","-","-","-","-","Changed from public to non-public","22-JAN-2007","ATTN JOHN KIESLICH","5630 WEST 82ND STREET","IN","46278"
"IL3141747","PIZZA COUSINS","05","Illinois","Transient non-community system","State","County","Will","-","-","-","-","Changed from public to non-public","04-OCT-2005","220 WALNUT","-","IL","60432"
"IL3141960","TOMS PARKWAY FOODS","05","Illinois","Transient non-community system","State","County","McLean","-","-","-","-","Changed from public to non-public","27-JAN-2006","ATTN: DON MURPHY","1605 G.E. RD, UNIT 8","IL","61704"
"IL3143016","SULLIVAN FOOD STORE (143016)","05","Illinois","Transient non-community system","State","County","DeKalb","-","-","-","-","Changed from public to non-public","03-AUG-2011","GLACIER WATER","1385 PARK CITY DR","CA","92081"
"IL3143107","DEL RAY FARMS 17 21848","05","Illinois","Transient non-community system","State","County","Kane","-","-","-","-","Changed from public to non-public","13-JUN-2007","ATTN: KEN DOVICH","1312 ENTERPRISE DR UNIT J","IL","60446"
"IL3143149","JEWEL FOOD STORES #3276","05","Illinois","Transient non-community system","State","County","DuPage","-","-","-","-","Changed from public to non-public","02-MAY-2007","111 North County Farm Road","-","IL","60187"
"IL3143255","EAGLE STORES 110","05","Illinois","Transient non-community system","State","County","DuPage","-","-","-","-","Changed from public to non-public","01-APR-2005","7137 S FRANCISCO AVENUE","-","IL","60629"
"IL3057695","G & J TRUCKING INC","05","Illinois","Transient non-community system","State","County","Will","-","-","-","-","Changed from public to non-public","15-JUL-2010","G & J TRUCKING INC.","24950 S RIDGELAND","IL","60449"
"IL3058362","WOODFORD STATE FISH & WILDLIFE (0058362)","05","Illinois","Transient non-community system","State","County","Woodford","-","-","-","-","Changed from public to non-public","23-DEC-2010","5415 North University","-","IL","61614"
"IL3104042","JEAN MARIES FOUR CORNORS","05","Illinois","Transient non-community system","State","County","Livingston","-","-","-","-","Changed from public to non-public","20-APR-2006","P.O. Box 650","310 E. Torrance Ave","IL","61764"
"IL3103374","NORTHWIND CONCRETE PRODUCT","05","Illinois","Transient non-community system","State","County","Winnebago","-","-","-","-","Changed from public to non-public","12-JAN-2010","401 Division Street","-","IL","61104"
"IL3064055","DUFFYS PALACE BOWL","05","Illinois","Transient non-community system","State","County","McHenry","-","-","-","-","Changed from public to non-public","24-OCT-2006","MCHENRY COUNTY HEALTH DEPARTMENT","2200 N. SEMINARY AVENUE","IL","60098"
"MI2006376","SIGNATURE BANK","05","Michigan","Non-Transient non-community system","State","City","-","CASS CITY","-","-","-","Changed from public to non-public","15-MAY-2020","8430 N VAN DYKE","-","MI","48726"
"MI2006376","SIGNATURE BANK","05","Michigan","Non-Transient non-community system","State","County","Sanilac","-","-","-","-","Changed from public to non-public","15-MAY-2020","8430 N VAN DYKE","-","MI","48726"
"MI2006376","SIGNATURE BANK","05","Michigan","Non-Transient non-community system","State","Zip Code","-","-","48726","-","-","Changed from public to non-public","15-MAY-2020","8430 N VAN DYKE","-","MI","48726"
"IL3132852","EAGLE CREST CAMPGROUND 4 WELL","05","Illinois","Transient non-community system","State","County","Woodford","-","-","-","-","Changed from public to non-public","08-DEC-2006","823 COLUMBIA RD","-","IL","61570"
"IL3087031","UNION SCHOOL","05","Illinois","Non-Transient non-community system","State","County","Will","-","-","-","-","Changed from public to non-public","21-MAR-2007","UNION SCHOOL DISTRICT #81","1661 CHERRY HILL ROAD","IL","60433"
"IL3136341","DUNDEE SUPERMARKET","05","Illinois","Transient non-community system","State","County","Kane","-","-","-","-","Changed from public to non-public","13-JUN-2007","ATTN: KEN DOVICH","1312 ENTERPRISE DR UNIT J","IL","60446"
"IL3136879","TOPWAY FOODS","05","Illinois","Transient non-community system","State","County","Winnebago","-","-","-","-","Changed from public to non-public","07-SEP-2007","401 Division Street","-","IL","61104"
"IL3091231","THE CORNER AMOCO","05","Illinois","Transient non-community system","State","County","Ogle","-","-","-","-","Changed from public to non-public","17-JAN-2007","104 South Fifth Street","-","IL","61061"
"IL3136499","GONZALES SUPERMARKET VENDING #","05","Illinois","Transient non-community system","State","County","Will","-","-","-","-","Changed from public to non-public","01-JUN-2005","2651 LAMIRADA DR SUITE 100","-","CA","92083"
"IL3048132","ENERGY AND ENVIRONMENTAL CENTR","05","Illinois","Transient non-community system","State","County","De Witt","-","-","-","-","Changed from public to non-public","24-OCT-2006","910 Route 54 East","Po Box 518","IL","61727"
"IL3093062","KINCAID GENERATION LLC","05","Illinois","Non-Transient non-community system","State","County","Christian","-","-","-","-","Changed from public to non-public","12-JUL-2007","3208 CATALPA DRIVE","-","IL","62707"
"IL3143362","DI HO MARKET 9904","05","Illinois","Transient non-community system","State","County","DuPage","-","-","-","-","Changed from public to non-public","01-APR-2005","7137 S FRANCISCO AVENUE","-","IL","60629"
"IL3143388","JEWEL 3068 19279","05","Illinois","Transient non-community system","State","County","DuPage","-","-","-","-","Changed from public to non-public","01-APR-2005","7137 S FRANCISCO AVENUE","-","IL","60629"
"IL3147702","EXXON MOBIL","05","Illinois","Transient non-community system","State","County","DuPage","-","-","-","-","Changed from public to non-public","29-MAR-2007","111 North County Farm Road","-","IL","60187"
"IL3148510","WEST CHICAGO FARMERS MARKET 3 (148510)","05","Illinois","Transient non-community system","State","County","DuPage","-","-","-","-","Changed from public to non-public","31-MAY-2007","111 North County Farm Road","-","IL","60187"
"IL3148668","WILL COUNTY FOREST PRESERVE (148668)","05","Illinois","Transient non-community system","State","County","Will","-","-","-","-","Changed from public to non-public","01-FEB-2007","501 Ella Avenue","-","IL","60433"
"IL3127969","DOMINICKS #109 WATER VENDING","05","Illinois","Transient non-community system","State","County","Lake","-","-","-","-","Changed from public to non-public","09-DEC-2010","GLACIER WATER","1385 PARK CITY DR","CA","92081"
"IL3127985","FRANKLIN FOODS #909/WATER VEND","05","Illinois","Transient non-community system","State","County","Lake","-","-","-","-","Changed from public to non-public","06-JUL-2007","3010 Grand Avenue","-","IL","60085"
"IL3128488","MOKENA SHELL","05","Illinois","Transient non-community system","State","County","Will","-","-","-","-","Changed from public to non-public","25-JUN-2007","9769 WICKER AVE","PO BOX 279","IN","46373"
"IL3133116","DUCKS FOOD VENDING MACHINE","05","Illinois","Transient non-community system","State","County","Hancock","-","-","-","-","Changed from public to non-public","15-MAR-2007","671 Wabash Ave","P.O. Box 357","IL","62321"
"IL3139709","ILLINOIS VALLEY PAVING","05","Illinois","Transient non-community system","State","County","Scott","-","-","-","-","Changed from public to non-public","30-MAR-2005","PO BOX 258","-","IL","62694"
"IL3143990","TRACY FOODS 15840","05","Illinois","Transient non-community system","State","County","McLean","-","-","-","-","Changed from public to non-public","31-MAY-2005","1605 G.E. RD, UNIT 8","-","IL","61704"
"IL3144022","JEWEL 3019 19329","05","Illinois","Transient non-community system","State","County","McLean","-","-","-","-","Changed from public to non-public","31-MAY-2005","1605 G.E. RD, UNIT 8","-","IL","61704"
"IL3144675","DOMINICKS #4161","05","Illinois","Transient non-community system","State","County","DuPage","-","-","-","-","Changed from public to non-public","30-MAY-2007","111 North County Farm Road","-","IL","60187"
"IL3149344","LA FINESSE SALON AND SPA","05","Illinois","Transient non-community system","State","County","DuPage","-","-","-","-","Changed from public to non-public","24-AUG-2007","111 North County Farm Road","-","IL","60187"
"IL3149492","CITGO PETROLEUM SOLVENT RACK","05","Illinois","Non-Transient non-community system","State","County","Will","-","-","-","-","Changed from public to non-public","12-DEC-2006","135TH ST AND NEW AVE","ATTN BRIDGETTE POSTEL","IL","60439"
"IL3039933","BENET ACADEMY","05","Illinois","Non-Transient non-community system","State","County","DuPage","-","-","-","-","Changed from public to non-public","22-JAN-2007","BENET ACADEMY","2200 MAPLE AVENUE","IL","60532"
"IL3134460","WASTE MANAGEMENT","05","Illinois","Non-Transient non-community system","State","County","Cook","-","-","-","-","Changed from public to non-public","16-OCT-2013","350 SUMAC ROAD","-","IL","60090"
"IL3134841","AMERICAN LEGION POST 1977","05","Illinois","Transient non-community system","State","County","Will","-","-","-","-","Changed from public to non-public","09-DEC-2010","14414 W FORD DRIVE","-","IL","60451"
"IL3133595","SPEEDWAY GAS STATION","05","Illinois","Transient non-community system","State","County","DuPage","-","-","-","-","Changed from public to non-public","15-MAR-2007","111 North County Farm Road","-","IL","60187"
"MI0000044","CEDAR HOLLOW CONDOMINIUMS","05","Michigan","Community water system","State","County","Antrim","-","-","-","-","Changed from public to non-public","23-JUL-2018","PO BOX 616","-","MI","49701"
"MI0000225","ANTRIM COUNTY WATER SYSTEM","05","Michigan","Community water system","State","County","Antrim","-","-","-","-","Changed from public to non-public","23-SEP-2002","P.O. BOX 332","-","MI","49659"
"MI0000234","ARBOR MEADOWS SUBDIVISION","05","Michigan","Community water system","State","County","Livingston","-","-","-","-","Changed from public to non-public","18-APR-2003","PO BOX G","-","MI","48143"
"MI0000013","ACME TWP LOCHENHEATH","05","Michigan","Community water system","State","County","Grand Traverse","-","-","-","-","Changed from public to non-public","13-DEC-2011","P.O. BOX 85","-","MI","49612"
"MI0000422","BARODA TOWNSHIP","05","Michigan","Community water system","State","County","Berrien","-","-","-","-","Changed from public to non-public","06-APR-2006","P.O. Box 215","-","MI","49101-0215"
"MI0000870","BRIGHTON COUNTRY CLUB ANNEX","05","Michigan","Community water system","State","County","Livingston","-","-","-","-","Changed from public to non-public","25-JUN-2007","c/o Brighton Township","4363 Buno Road","MI","48116"
"MI0000900","BROOKSIDE SUBDIVISION","05","Michigan","Community water system","State","City","-","ANN ARBOR","-","-","-","Changed from public to non-public","12-OCT-2004","PITTSFIELD TOWNSHIP UTILITIES DEPARTMENT","4467 CONCOURSE DRIVE","MI","48108"
"MI0000900","BROOKSIDE SUBDIVISION","05","Michigan","Community water system","State","County","Washtenaw","-","-","-","-","Changed from public to non-public","12-OCT-2004","PITTSFIELD TOWNSHIP UTILITIES DEPARTMENT","4467 CONCOURSE DRIVE","MI","48108"
"MI0001038","CALHOUN COUNTY JUVENILE HOME","05","Michigan","Community water system","State","County","Calhoun","-","-","-","-","Changed from public to non-public","08-APR-2003","14555 18 1/2 MILE ROAD","-","MI","49068"
"MI0001315","CENTURY OAKS","05","Michigan","Community water system","State","County","Oakland","-","-","-","-","Changed from public to non-public","23-DEC-2003","ONE PUBLIC WORKS DRIVE","-","MI","48328"
"MI0001373","EAST BAY TWP - CHERRY RIDGE","05","Michigan","Community water system","State","County","Grand Traverse","-","-","-","-","Changed from public to non-public","03-JAN-2002","EAST BAY TOWNSHIP","1965 THREE MILE ROAD NORTH","MI","49686"
"MI0001375","CHERRYWOOD COMMONS","05","Michigan","Community water system","State","County","Grand Traverse","-","-","-","-","Changed from public to non-public","13-FEB-2009","7112 Cherrywood Court","-","MI","49686"
"MI0000555","BEECHWOOD HILLS APARTMENTS","05","Michigan","Community water system","State","County","Berrien","-","-","-","-","Changed from public to non-public","01-JUN-2009","235 MONUMENT RD","-","MI","48730"
"MI0000797","BLUE WATER BEACH SUBDIVISION","05","Michigan","Community water system","State","County","Sanilac","-","-","-","-","Changed from public to non-public","16-APR-2003","7290 CARDINAL","-","MI","48450"
"MI0000817","BOYSVILLE","05","Michigan","Community water system","State","City","-","CLINTON","-","-","-","Changed from public to non-public","30-JUN-2017","8759 Clinton-Macon Road","-","MI","49236"
